spice_area,pop_name,cca3,continent,pop_2022
Papua New Guinea,Papua New Guinea,PNG,Oceania,10142619
Paraguay,Paraguay,PRY,South America,6780744
Peru,Peru,PER,South America,34049588
Philippines,Philippines,PHL,Asia,115559009
Poland,Poland,POL,Europe,39857145
Portugal,Portugal,PRT,Europe,10270865
Qatar,Qatar,QAT,Asia,2695122
Republic of Korea,South Korea,KOR,Asia,51815810
Republic of Moldova,Moldova,MDA,Europe,3272996
Romania,Romania,ROU,Europe,19659267
Russian Federation,Russia,RUS,Europe,144713314
Rwanda,Rwanda,RWA,Africa,13776698
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,North America,47657
Saint Lucia,Saint Lucia,LCA,North America,179857
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,North America,103948
Samoa,Samoa,WSM,Oceania,222382
Sao Tome and Principe,Sao Tome and Principe,STP,Africa,227380
Saudi Arabia,Saudi Arabia,SAU,Asia,36408820
Senegal,Senegal,SEN,Africa,17316449
Serbia,Serbia,SRB,Europe,7221365
Seychelles,Seychelles,SYC,Africa,107118
Sierra Leone,Sierra Leone,SLE,Africa,8605718
Singapore,Singapore,SGP,Asia,5975689
Slovakia,Slovakia,SVK,Europe,5643453
Slovenia,Slovenia,SVN,Europe,2119844
Solomon Islands,Solomon Islands,SLB,Oceania,724273
Somalia,Somalia,SOM,Africa,17597511
South Africa,South Africa,ZAF,Africa,59893885
South Sudan,South Sudan,SSD,Africa,10913164
Spain,Spain,ESP,Europe,47558630
Sri Lanka,Sri Lanka,LKA,Asia,21832143
Sudan,Sudan,SDN,Africa,46874204
Suriname,Suriname,SUR,South America,618040
Sweden,Sweden,SWE,Europe,10549347
Switzerland,Switzerland,CHE,Europe,8740472
Syrian Arab Republic,Syria,SYR,Asia,22125249
Tajikistan,Tajikistan,TJK,Asia,9952787
Thailand,Thailand,THA,Asia,71697030
Timor-Leste,Timor-Leste,TLS,Asia,1341296
Togo,Togo,TGO,Africa,8848699
Tonga,Tonga,TON,Oceania,106858
Trinidad and Tobago,Trinidad and Tobago,TTO,North America,1531044
Tunisia,Tunisia,TUN,Africa,12356117
Turkmenistan,Turkmenistan,TKM,Asia,6430770
Tuvalu,Tuvalu,TUV,Oceania,11312
Türkiye,Turkey,TUR,Asia,85341241
Uganda,Uganda,UGA,Africa,47249585
Ukraine,Ukraine,UKR,Europe,39701739
United Arab Emirates,United Arab Emirates,ARE,Asia,9441129
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,Europe,67508936
United Republic of Tanzania,Tanzania,TZA,Africa,65497748
United States of America,United States,USA,North America,338289857
Uruguay,Uruguay,URY,South America,3422794
Uzbekistan,Uzbekistan,UZB,Asia,34627652
Vanuatu,Vanuatu,VUT,Oceania,326740
Venezuela (Bolivarian Republic of),Venezuela,VEN,South America,28301696
Viet Nam,Vietnam,VNM,Asia,98186856
Yemen,Yemen,YEM,Asia,33696614
Zambia,Zambia,ZMB,Africa,20017675
Zimbabwe,Zimbabwe,ZWE,Africa,16320537
