area,cca3,continent,production,import,export,consumption,import_dependence_pct,self_sufficiency_pct
Somalia,SOM,Africa,0.0,5793.3,0.5,5792.8,100.0,0.0
Panama,PAN,North America,5018.0,865.0,118.9,5764.1,15.0,87.1
Bahrain,BHR,Asia,0.0,5941.4,260.4,5681.0,104.6,0.0
Romania,ROU,Europe,0.0,8391.9,2902.7,5489.2,152.9,0.0
North Macedonia,MKD,Europe,5262.7,1221.6,1092.6,5391.7,22.7,97.6
Serbia,SRB,Europe,5282.4,1936.7,2019.0,5200.1,37.2,101.6
Chile,CHL,South America,0.0,5288.9,627.3,4661.7,113.5,0.0
Denmark,DNK,Europe,0.0,5777.3,1182.1,4595.2,125.7,0.0
Togo,TGO,Africa,3616.4,937.4,18.2,4535.6,20.7,79.7
Belgium,BEL,Europe,0.0,11239.3,6791.9,4447.4,252.7,0.0
Greece,GRC,Europe,0.0,4913.8,495.6,4418.2,111.2,0.0
Sierra Leone,SLE,Africa,4294.9,19.5,0.7,4313.7,0.5,99.6
New Zealand,NZL,Oceania,0.0,4284.4,107.9,4176.4,102.6,0.0
Portugal,PRT,Europe,0.0,4764.9,610.1,4154.8,114.7,0.0
Hungary,HUN,Europe,0.0,6689.8,2667.4,4022.4,166.3,0.0
Bhutan,BTN,Asia,4481.3,336.9,850.8,3967.4,8.5,113.0
Dominican Republic,DOM,North America,199.7,4111.3,568.5,3742.5,109.9,5.3
Ireland,IRL,Europe,0.0,3838.9,118.1,3720.8,103.2,0.0
Kyrgyzstan,KGZ,Asia,1190.5,2775.5,268.2,3697.8,75.1,32.2
"China, Hong Kong SAR",HKG,Asia,0.0,4267.2,731.7,3535.5,120.7,0.0
Jordan,JOR,Asia,0.0,8789.2,5269.1,3520.1,249.7,0.0
Costa Rica,CRI,North America,5557.1,2135.0,4374.9,3317.1,64.4,167.5
Lebanon,LBN,Asia,393.7,3237.1,398.0,3232.8,100.1,12.2
Democratic People's Republic of Korea,PRK,Asia,0.0,3180.8,0.0,3180.8,100.0,0.0
Mauritius,MUS,Africa,1758.0,1317.1,55.0,3020.1,43.6,58.2
Brunei Darussalam,BRN,Asia,28.6,2899.2,7.7,2920.1,99.3,1.0
Norway,NOR,Europe,0.0,2898.3,7.7,2890.6,100.3,0.0
Spain,ESP,Europe,0.0,99453.2,96585.7,2867.5,3468.3,0.0
Slovakia,SVK,Europe,0.0,3906.3,1231.7,2674.6,146.1,0.0
Uganda,UGA,Africa,7155.2,296.5,4834.6,2617.0,11.3,273.4
Croatia,HRV,Europe,0.0,3266.7,850.4,2416.3,135.2,0.0
Trinidad and Tobago,TTO,North America,332.1,2040.6,94.2,2278.4,89.6,14.6
Rwanda,RWA,Africa,2820.1,54.6,654.5,2220.3,2.5,127.0
Malawi,MWI,Africa,1879.0,719.8,390.4,2208.4,32.6,85.1
Maldives,MDV,Asia,10.2,2010.4,0.0,2020.7,99.5,0.5
Colombia,COL,South America,0.0,4929.1,3075.6,1853.5,265.9,0.0
"China, Macao SAR",MAC,Asia,222.3,1599.6,0.0,1821.9,87.8,12.2
Ecuador,ECU,South America,3468.2,2784.2,4435.0,1817.4,153.2,190.8
Cabo Verde,CPV,Africa,1524.5,103.4,0.5,1627.4,6.4,93.7
Georgia,GEO,Asia,0.0,1739.9,113.3,1626.6,107.0,0.0
Azerbaijan,AZE,Asia,0.0,1616.5,0.0,1616.4,100.0,0.0
Slovenia,SVN,Europe,0.0,3613.6,2123.4,1490.2,242.5,0.0
Belarus,BLR,Europe,0.0,1450.8,2.1,1448.7,100.1,0.0
Djibouti,DJI,Africa,546.0,2378.5,1562.6,1361.9,174.6,40.1
El Salvador,SLV,North America,0.0,1435.0,85.1,1349.9,106.3,0.0
Finland,FIN,Europe,0.0,2292.7,1171.4,1121.4,204.5,0.0
Mauritania,MRT,Africa,0.0,1049.1,17.5,1031.6,101.7,0.0
Bolivia (Plurinational State of),BOL,South America,27.2,1194.2,263.1,958.3,124.6,2.8
Armenia,ARM,Asia,0.0,942.8,26.8,916.0,102.9,0.0
Uruguay,URY,South America,0.0,924.7,17.3,907.3,101.9,0.0
Fiji,FJI,Oceania,117.0,786.2,47.7,855.5,91.9,13.7
Estonia,EST,Europe,0.0,1778.3,984.1,794.2,223.9,0.0
Cyprus,CYP,Europe,0.0,787.6,0.3,787.4,100.0,0.0
Paraguay,PRY,South America,0.0,764.1,0.1,764.0,100.0,0.0
Grenada,GRD,North America,1161.0,72.8,549.4,684.4,10.6,169.6
Venezuela (Bolivarian Republic of),VEN,South America,0.0,673.7,1.2,672.6,100.2,0.0
Republic of Moldova,MDA,Europe,0.0,659.5,10.0,649.5,101.5,0.0
Burundi,BDI,Africa,0.0,602.3,0.2,602.1,100.0,0.0
Namibia,NAM,Africa,470.5,451.0,373.2,548.3,82.3,85.8
Seychelles,SYC,Africa,0.0,576.0,34.1,541.9,106.3,0.0
Cuba,CUB,North America,0.0,520.7,7.4,513.2,101.4,0.0
Papua New Guinea,PNG,Oceania,606.9,27.6,152.9,481.7,5.7,126.0
Bahamas,BHS,North America,0.0,443.8,0.0,443.8,100.0,0.0
Barbados,BRB,North America,0.0,402.4,0.2,402.2,100.0,0.0
Haiti,HTI,North America,0.0,428.4,29.0,399.4,107.3,0.0
