spice,area,cca3,continent,production,consumption
Anise/Cumin/Coriander,Jamaica,JAM,North America,0.0,403.9
Anise/Cumin/Coriander,Japan,JPN,Asia,0.0,6562.8
Anise/Cumin/Coriander,Jordan,JOR,Asia,0.0,2103.0
Anise/Cumin/Coriander,Kazakhstan,KAZ,Asia,0.0,675.0
Anise/Cumin/Coriander,Kenya,KEN,Africa,18527.0,19984.0
Anise/Cumin/Coriander,Kiribati,KIR,Oceania,0.0,0.2
Anise/Cumin/Coriander,Kuwait,KWT,Asia,0.0,2406.7
Anise/Cumin/Coriander,Kyrgyzstan,KGZ,Asia,0.0,244.2
Anise/Cumin/Coriander,Lao People's Democratic Republic,LAO,Asia,0.0,-0.1
Anise/Cumin/Coriander,Latvia,LVA,Europe,0.0,-549.5
Anise/Cumin/Coriander,Lebanon,LBN,Asia,393.7,771.9
Anise/Cumin/Coriander,Lesotho,LSO,Africa,0.0,1.7
Anise/Cumin/Coriander,Liberia,LBR,Africa,0.0,27.3
Anise/Cumin/Coriander,Libya,LBY,Africa,1270.0,4814.1
Anise/Cumin/Coriander,Lithuania,LTU,Europe,0.0,-2005.9
Anise/Cumin/Coriander,Luxembourg,LUX,Europe,0.0,41.2
Anise/Cumin/Coriander,Madagascar,MDG,Africa,79.9,75.4
Anise/Cumin/Coriander,Malawi,MWI,Africa,82.8,98.6
Anise/Cumin/Coriander,Malaysia,MYS,Asia,0.0,24222.5
Anise/Cumin/Coriander,Maldives,MDV,Asia,0.0,434.4
Anise/Cumin/Coriander,Mali,MLI,Africa,0.0,-5.1
Anise/Cumin/Coriander,Malta,MLT,Europe,0.0,22.2
Anise/Cumin/Coriander,Mauritania,MRT,Africa,0.0,1.6
Anise/Cumin/Coriander,Mauritius,MUS,Africa,0.0,686.6
Anise/Cumin/Coriander,Mexico,MEX,North America,118152.3,119385.9
Anise/Cumin/Coriander,Mongolia,MNG,Asia,0.0,3.5
Anise/Cumin/Coriander,Montenegro,MNE,Europe,0.0,-44.2
Anise/Cumin/Coriander,Morocco,MAR,Africa,29038.3,30903.0
Anise/Cumin/Coriander,Mozambique,MOZ,Africa,0.0,12.4
Anise/Cumin/Coriander,Myanmar,MMR,Asia,0.0,955.1
Anise/Cumin/Coriander,Namibia,NAM,Africa,0.0,13.4
Anise/Cumin/Coriander,Nauru,NRU,Oceania,0.0,0.0
Anise/Cumin/Coriander,Nepal,NPL,Asia,0.0,13366.8
Anise/Cumin/Coriander,Netherlands (Kingdom of the),NLD,Europe,0.0,2441.2
Anise/Cumin/Coriander,New Caledonia,NCL,Oceania,0.0,1.4
Anise/Cumin/Coriander,New Zealand,NZL,Oceania,0.0,533.7
Anise/Cumin/Coriander,Nicaragua,NIC,North America,0.0,37.4
Anise/Cumin/Coriander,Niger,NER,Africa,0.0,0.1
Anise/Cumin/Coriander,Nigeria,NGA,Africa,0.0,546.7
Anise/Cumin/Coriander,Niue,NIU,Oceania,0.0,0.0
Anise/Cumin/Coriander,North Macedonia,MKD,Europe,1548.2,759.8
Anise/Cumin/Coriander,Norway,NOR,Europe,0.0,225.1
Anise/Cumin/Coriander,Oman,OMN,Asia,0.0,2829.3
Anise/Cumin/Coriander,Pakistan,PAK,Asia,0.0,27146.5
Anise/Cumin/Coriander,Palestine,PSE,Asia,174.8,268.0
Anise/Cumin/Coriander,Panama,PAN,North America,0.0,78.3
Anise/Cumin/Coriander,Papua New Guinea,PNG,Oceania,0.0,3.2
Anise/Cumin/Coriander,Paraguay,PRY,South America,0.0,619.7
Anise/Cumin/Coriander,Peru,PER,South America,45.0,2112.1
Anise/Cumin/Coriander,Philippines,PHL,Asia,0.0,231.3
Anise/Cumin/Coriander,Poland,POL,Europe,0.0,-583.7
Anise/Cumin/Coriander,Portugal,PRT,Europe,0.0,342.5
Anise/Cumin/Coriander,Qatar,QAT,Asia,0.0,2020.5
Anise/Cumin/Coriander,Republic of Korea,KOR,Asia,0.0,916.7
Anise/Cumin/Coriander,Republic of Moldova,MDA,Europe,0.0,256.5
Anise/Cumin/Coriander,Romania,ROU,Europe,0.0,530.5
Anise/Cumin/Coriander,Russian Federation,RUS,Europe,84220.5,9622.6
Anise/Cumin/Coriander,Rwanda,RWA,Africa,0.0,-47.9
Anise/Cumin/Coriander,Saint Kitts and Nevis,KNA,North America,0.0,0.4
Anise/Cumin/Coriander,Saint Lucia,LCA,North America,0.0,7.8
