area,cca3,continent,consumption_t,pop_2022,grams_per_capita_yr
Democratic Republic of the Congo,COD,Africa,36777.2,99010212,371.4
Saint Kitts and Nevis,KNA,North America,17.1,47657,358.8
Montenegro,MNE,Europe,212.6,627082,339.0
Philippines,PHL,Asia,39124.4,115559009,338.6
Dominican Republic,DOM,North America,3742.5,11228821,333.3
Sudan,SDN,Africa,15608.5,46874204,333.0
Armenia,ARM,Asia,916.0,2780469,329.4
Somalia,SOM,Africa,5792.8,17597511,329.2
Jordan,JOR,Asia,3520.1,11285869,311.9
Romania,ROU,Europe,5489.2,19659267,279.2
Saint Lucia,LCA,North America,48.2,179857,268.0
Afghanistan,AFG,Asia,10909.0,41128771,265.2
Uruguay,URY,South America,907.3,3422794,265.1
Argentina,ARG,South America,11336.3,45510318,249.1
Chile,CHL,South America,4661.7,19603733,237.8
New Caledonia,NCL,Oceania,65.8,289950,226.9
Belize,BLZ,North America,89.5,405272,220.9
Mauritania,MRT,Africa,1031.6,4736139,217.8
Namibia,NAM,Africa,548.3,2567012,213.6
El Salvador,SLV,North America,1349.9,6336392,213.0
United Republic of Tanzania,TZA,Africa,13550.1,65497748,206.9
Sao Tome and Principe,STP,Africa,46.2,227380,203.1
Finland,FIN,Europe,1121.4,5540745,202.4
Republic of Moldova,MDA,Europe,649.5,3272996,198.4
Russian Federation,RUS,Europe,27822.7,144713314,192.3
Ukraine,UKR,Europe,7070.1,39701739,178.1
Rwanda,RWA,Africa,2220.3,13776698,161.2
Azerbaijan,AZE,Asia,1616.4,10358074,156.1
Belarus,BLR,Europe,1448.7,9534954,151.9
Lesotho,LSO,Africa,345.9,2305825,150.0
Brazil,BRA,South America,30700.3,215313498,142.6
Nauru,NRU,Oceania,1.7,12668,137.4
Democratic People's Republic of Korea,PRK,Asia,3180.8,26069416,122.0
Paraguay,PRY,South America,764.0,6780744,112.7
Albania,ALB,Europe,313.1,2842321,110.1
Malawi,MWI,Africa,2208.4,20405317,108.2
Kiribati,KIR,Oceania,13.3,131232,101.3
Ecuador,ECU,South America,1817.4,18001000,101.0
Timor-Leste,TLS,Asia,135.1,1341296,100.7
Samoa,WSM,Oceania,19.7,222382,88.5
Botswana,BWA,Africa,219.3,2630296,83.4
Bolivia (Plurinational State of),BOL,South America,958.3,12224110,78.4
Spain,ESP,Europe,2867.5,47558630,60.3
Palestine,PSE,Asia,312.3,5250072,59.5
Uganda,UGA,Africa,2617.0,47249585,55.4
Eswatini,SWZ,Africa,64.6,1201670,53.8
